-1.007435+0.019032j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007440+0.019059j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007446+0.019086j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007452+0.019112j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007457+0.019139j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007463+0.019165j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007469+0.019191j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007475+0.019217j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007480+0.019243j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007486+0.019269j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007492+0.019295j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007498+0.019320j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007503+0.019346j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007509+0.019371j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007515+0.019396j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007521+0.019422j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007527+0.019447j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007533+0.019472j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007538+0.019497j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007544+0.019521j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007550+0.019546j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007556+0.019571j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007562+0.019595j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007568+0.019619j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007574+0.019644j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007580+0.019668j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007586+0.019692j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007592+0.019716j,1.386294-0.000002j,1.386295+0.000002j,0.000000
-1.007598+0.019740j,1.386294-0.000002j,1.386295+0.000002j,0.000000
