-1.155663+0.196169j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155673+0.196163j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155683+0.196157j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155693+0.196151j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155704+0.196144j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155714+0.196138j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155724+0.196132j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155734+0.196126j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155744+0.196120j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155754+0.196113j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155764+0.196107j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155775+0.196101j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155785+0.196095j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
-1.155795+0.196089j,-0.000004-3.141589j,0.000004-3.141596j,0.000000
