-0.771171-0.090153j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771181-0.090152j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771191-0.090152j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771201-0.090152j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771211-0.090152j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771221-0.090151j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771231-0.090151j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771241-0.090151j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771251-0.090150j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771261-0.090150j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771271-0.090150j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771281-0.090150j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771291-0.090149j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771300-0.090149j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771310-0.090149j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771320-0.090149j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771330-0.090148j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771340-0.090148j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771350-0.090148j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771360-0.090147j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771370-0.090147j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771379-0.090147j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771389-0.090147j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771399-0.090146j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771409-0.090146j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771419-0.090146j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771429-0.090146j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771438-0.090145j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771448-0.090145j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771458-0.090145j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771468-0.090144j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771477-0.090144j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771487-0.090144j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771497-0.090144j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771507-0.090143j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771516-0.090143j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771526-0.090143j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771536-0.090143j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771545-0.090142j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771555-0.090142j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771565-0.090142j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771574-0.090142j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
