-1.206755+0.130161j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206742+0.130158j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206729+0.130155j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206716+0.130151j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206702+0.130148j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206689+0.130145j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206676+0.130142j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206663+0.130139j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206650+0.130136j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206636+0.130133j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206623+0.130129j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206610+0.130126j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206597+0.130123j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206584+0.130120j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206571+0.130117j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206558+0.130114j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206545+0.130111j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206532+0.130108j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206518+0.130105j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206505+0.130101j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206492+0.130098j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206479+0.130095j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.206466+0.130092j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206453+0.130089j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206440+0.130086j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206427+0.130083j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206414+0.130080j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206401+0.130077j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206389+0.130074j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206376+0.130071j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206363+0.130068j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206350+0.130065j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206337+0.130061j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206324+0.130058j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206311+0.130055j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206298+0.130052j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206285+0.130049j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206272+0.130046j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206260+0.130043j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206247+0.130040j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206234+0.130037j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206221+0.130034j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206208+0.130031j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206196+0.130028j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206183+0.130025j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206170+0.130022j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206157+0.130019j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
-1.206145+0.130016j,0.000005+3.141593j,-0.000005+3.141592j,0.000000
